,Team1_summonerId_1,Team1_summonerId_2,Team1_summonerId_3,Team1_summonerId_4,Team1_summonerId_5,Team1_win,Team2_summonerId_1,Team2_summonerId_2,Team2_summonerId_3,Team2_summonerId_4,Team2_summonerId_5,Team2_win,gameId
games,37802452,39421937,27530264,33678783.0,94789012.0,False,21999355,20537397,38515770,20020102.0,95927411.0,True,3143871356
games,37802452,24475395,42277225,53436826.0,22079969.0,False,23441464,20110160,28931680,23267851.0,36807499.0,True,3143514705
games,22103886,244732,74067206,19088162.0,38497537.0,False,20815637,36467479,93607205,37067072.0,22331014.0,True,3145781620
games,22103886,20815637,36467479,71709078.0,36807499.0,True,72467946,29342259,42287489,24475395.0,32317426.0,False,3145636877
games,22103886,42287489,19708052,40560749.0,42135084.0,False,21726747,35917998,94987702,22709393.0,42829492.0,True,3145587723
games,22103886,20801650,58727186,38515770.0,23832178.0,False,22107301,69868142,33678783,96197841.0,18979052.0,True,3144107407
games,22103886,21866391,21726747,32317426.0,42829492.0,True,23441464,42287489,23267851,42278386.0,21285694.0,False,3143975769
games,22103886,44748697,58727186,41518117.0,24838086.0,False,24475395,44476338,36807499,23026014.0,44246839.0,True,3143912839
games,22103886,97539969,21326641,93998864.0,72857387.0,False,44748697,20308708,94418813,23483486.0,44246839.0,True,3143881450
games,22103886,58727186,88957526,74067492.0,41521265.0,False,46517338,21112717,28931680,83567148.0,97607448.0,True,3142445021
games,22103886,20801650,23483486,88957526.0,40219771.0,True,34628974,20778901,92787606,19929457.0,97607448.0,False,3142388508
games,22103886,20965425,19929457,292470.0,88957526.0,False,23441464,22481879,95166901,97607448.0,33228506.0,True,3142373938
games,20234739,93737608,38515770,36807499.0,44246839.0,True,19151853,70027354,165708,19642904.0,97277462.0,False,3138446765
games,20234739,36267363,19662872,19352674.0,58245272.0,False,23289949,95136909,40492701,19898783.0,33228506.0,True,3138379974
games,20234739,39421937,22743421,81578128.0,31083248.0,True,94789011,34628974,86878959,34518587.0,28160866.0,False,3136951240
games,20234739,35452243,20537397,94789012.0,44246839.0,True,22107301,21729191,94808814,94987702.0,24516174.0,False,3136644053
games,20234739,35432335,94808814,94987702.0,94789012.0,False,22107301,20537397,97607023,20181136.0,44246839.0,True,3136577525
games,20234739,37266963,95206985,22869898.0,22103886.0,True,57287380,19468950,28931680,94987702.0,44246839.0,False,3131002880
games,20234739,95166805,95206803,42176118.0,19538899.0,False,30001868,22716663,21999355,22709393.0,20820358.0,True,3130570585
games,20234739,19666136,86797333,42176118.0,94987702.0,True,19151853,23734349,19045442,19833744.0,97607448.0,False,3127742985
games,20234739,20815637,23483486,22066309.0,97607448.0,True,19666136,30121864,61666828,19920657.0,19479122.0,False,3126632812
games,20234739,82970982,19623069,19479122.0,97607448.0,True,95167019,34978029,42120158,21714748.0,37689587.0,False,3126409572
games,86777339,25532701,23717728,23026014.0,20020102.0,True,20308708,20828788,23267851,37933039.0,44246839.0,False,3145196409
games,86777339,86757717,32081620,93998864.0,47428011.0,True,19151853,20815637,19350133,27361426.0,29069277.0,False,3145133628
games,86777339,20815637,19806326,58027062.0,94016805.0,False,86757717,27361426,20778901,93647556.0,47428011.0,True,3145070004
games,86777339,24061121,20778901,93647556.0,47428011.0,True,71238349,20815637,94016805,23026014.0,71137391.0,False,3145076482
games,86777339,79997083,21958690,32668481.0,27651481.0,True,20889748,28946246,40696824,97607023.0,47428011.0,False,3145082054
games,86777339,83976884,27865763,44939235.0,29535349.0,True,72201403,32601771,97716793,93647556.0,82026990.0,False,3145009223
games,86777339,19149907,43573667,33037228.0,19828997.0,False,20815637,25532701,32081620,27751693.0,33228506.0,True,3144442230
games,86777339,21112717,20244156,20747228.0,97607448.0,True,42256924,88489685,65227634,21608444.0,20398981.0,False,3144195557
games,86777339,36226932,24475395,39976494.0,25948857.0,True,46517338,21528940,22240784,67077416.0,39621089.0,False,3143831706
games,86777339,23441464,22481879,23483486.0,20717177.0,True,34148603,94418813,39995349,20101413.0,72857387.0,False,3143774446
games,23735326,83180,20537397,93998864.0,72857387.0,True,30001868,20801650,74406,20053332.0,43729955.0,False,3146489324
games,52200067,19806326,22322085,94789012.0,71136981.0,False,34148603,85749594,37802452,21604393.0,44246839.0,True,3135552446
games,52200067,34148603,40634635,55497402.0,47428011.0,True,83638678,91577003,22709393,65218006.0,44246839.0,False,3135503506
games,52200067,21302646,27361426,94738630.0,94789012.0,True,87080148,94808591,20537397,89037252.0,19889228.0,False,3135196312
games,52200067,21624124,27042144,37067072.0,20181136.0,True,21302646,21112717,27361426,42176118.0,68597024.0,False,3134217610
games,52200067,20815637,21112717,27361426.0,22275693.0,True,23595556,87080148,42176118,86259309.0,19828997.0,False,3134221527
games,52200067,91577003,41518117,20605205.0,37933039.0,True,95206801,40634635,22610949,65227634.0,20667830.0,False,3133708659
games,52200067,94007115,29342259,81578128.0,22709393.0,True,95206801,40634635,21112717,19160377.0,90777156.0,False,3133660242
games,52200067,33543827,40634635,19642904.0,97277462.0,True,64086141,24111040,206429,23267851.0,22073091.0,False,3133643725
games,52200067,34148603,23596877,42288778.0,19047300.0,True,27361426,19538899,31096976,89037252.0,21714748.0,False,3133593846
games,52200067,21016499,94808591,33707181.0,21714748.0,False,23441464,34148603,206429,21001130.0,23267851.0,True,3133515110
games,36807362,23307330,96197841,70797806.0,70577824.0,True,29737467,29830974,42277225,74067492.0,37933039.0,False,3146835742
games,36807362,69868142,21608444,22331014.0,61666806.0,True,22107301,54367179,34316842,21304689.0,94418904.0,False,3142107807
games,36807362,69868142,28931680,94418904.0,74067492.0,True,95166805,34148603,19806326,19920657.0,97607448.0,False,3141942475
games,36807362,19538899,22610949,94987702.0,20667830.0,True,87080148,21624124,46517338,44635060.0,33707181.0,False,3139393028
games,36807362,33147001,36467479,24610205.0,74067492.0,False,46517338,97817495,64112014,22103886.0,238734.0,True,3138422918
games,36807362,36467479,41523185,86259309.0,77480142.0,True,49534099,54367179,27361426,97607023.0,41521265.0,False,3138046240
games,36807362,96016861,73306918,400320.0,97607023.0,True,87080148,42176118,95136999,89037252.0,70071834.0,False,3136715160
games,48617233,40831626,24499223,57357649.0,26746953.0,True,38003173,24241511,23702081,35089640.0,33467212.0,False,3145764881
games,48617233,22868883,24499223,57357649.0,26746953.0,True,29940934,19531653,40799579,24241511.0,19022343.0,False,3145709342
games,48617233,20713394,31451100,24499223.0,57357649.0,False,20929407,21004737,51341735,86240567.0,19235673.0,True,3144399006
games,48617233,64132310,291346,22540730.0,57357649.0,False,19074197,19045073,77430214,20082050.0,32299434.0,True,3143203580
games,48617233,76519233,57357649,30783414.0,57953689.0,False,64132310,41847338,34058,291346.0,22540730.0,True,3143121949
games,48617233,32927434,52041644,25492492.0,57357649.0,False,19436203,22003373,44439531,27298346.0,27307145.0,True,3142471115
games,48617233,24111040,92689869,25492492.0,57357649.0,False,19638823,35448433,23819045,20617959.0,326846.0,True,3142417943
games,48617233,27361426,33037228,21800660.0,32772336.0,False,19151853,34148603,93977004,20782709.0,96178809.0,True,3141455705
games,19151853,22107301,19171532,70036806.0,83567148.0,False,22082647,25532701,56734662,20244156.0,33228506.0,True,3146835498
games,19151853,95166805,22395987,21580625.0,23832178.0,False,69868142,46718607,92977034,21322517.0,72857387.0,True,3146751256
games,19151853,28254456,42287489,96197841.0,37067072.0,True,46088149,20385190,20160611,23266654.0,21556034.0,False,3146678444
games,19151853,22107301,20160611,18995872.0,20573768.0,False,95166805,77350121,43800383,93998864.0,41528584.0,True,3146673181
games,19151853,44749129,22341096,39976494.0,33228506.0,False,74428528,20160611,24010336,238734.0,44246839.0,True,3145691728
games,19151853,20815637,46517338,27361426.0,96197841.0,False,30001868,35452243,83180,47428011.0,97607448.0,True,3145513427
games,19151853,30001868,35452243,61666806.0,23832178.0,True,21614611,46517338,41523185,96197841.0,23483486.0,False,3145465916
games,19151853,22392945,20053332,22331014.0,20747228.0,True,42287489,83180,38515770,19920657.0,32317426.0,False,3145373845
games,19151853,23307330,21729191,32081620.0,292470.0,True,23267851,19099982,47428011,41528584.0,32317426.0,False,3145306229
games,19151853,89187062,21726747,27361426.0,42829492.0,True,23307330,40560749,38515770,47428011.0,32317426.0,False,3145247094
games,29737467,29830974,42277225,74067492.0,37933039.0,False,23307330,96197841,70797806,36807362.0,70577824.0,True,3146835742
